trajectory_index,particle_id,trajectory_id,channel_id,severity,type,description,details
1,2,2,channel_A,warning,qc_flag,broken,num_frames=250
1,2,2,channel_A,warning,qc_flag,break_points,num_frames=250
3,4,4,channel_A,warning,qc_flag,intensity_drop,num_frames=451
8,9,9,channel_A,warning,qc_flag,broken,num_frames=207
8,9,9,channel_A,warning,qc_flag,break_points,num_frames=207
14,15,15,channel_A,warning,qc_flag,broken,num_frames=263
14,15,15,channel_A,warning,qc_flag,break_points,num_frames=263
19,20,20,channel_A,warning,qc_flag,intensity_drop,num_frames=350
22,23,23,channel_A,warning,exclude_from_distribution,排除原因: short_trajectory_10_frames_less_than_20,num_frames=10
22,23,23,channel_A,warning,qc_flag,short_trajectory,num_frames=10
26,27,27,channel_A,warning,exclude_from_distribution,排除原因: short_trajectory_7_frames_less_than_20,num_frames=7
26,27,27,channel_A,warning,qc_flag,short_trajectory,num_frames=7
36,20,37,channel_B,warning,qc_flag,intensity_drop,num_frames=472
37,36,38,channel_B,warning,exclude_from_distribution,排除原因: short_trajectory_18_frames_less_than_20,num_frames=18
37,36,38,channel_B,warning,qc_flag,short_trajectory,num_frames=18
38,37,39,channel_B,warning,qc_flag,broken,num_frames=286
38,37,39,channel_B,warning,qc_flag,break_points,num_frames=286
39,38,40,channel_B,warning,qc_flag,broken,num_frames=156
39,38,40,channel_B,warning,qc_flag,break_points,num_frames=156
40,39,41,channel_B,warning,exclude_from_distribution,排除原因: short_trajectory_19_frames_less_than_20,num_frames=19
40,39,41,channel_B,warning,qc_flag,short_trajectory,num_frames=19
41,40,42,channel_B,warning,exclude_from_distribution,排除原因: short_trajectory_19_frames_less_than_20,num_frames=19
41,40,42,channel_B,warning,qc_flag,short_trajectory,num_frames=19
43,42,44,channel_B,warning,qc_flag,intensity_drop,num_frames=122
44,43,45,channel_B,warning,qc_flag,broken,num_frames=125
44,43,45,channel_B,warning,qc_flag,break_points,num_frames=125
47,46,48,channel_B,warning,qc_flag,broken,num_frames=255
47,46,48,channel_B,warning,qc_flag,break_points,num_frames=255
48,47,49,channel_B,warning,exclude_from_distribution,排除原因: short_trajectory_14_frames_less_than_20,num_frames=14
48,47,49,channel_B,warning,qc_flag,short_trajectory,num_frames=14
51,50,52,channel_B,warning,qc_flag,broken,num_frames=251
51,50,52,channel_B,warning,qc_flag,break_points,num_frames=251
55,54,56,channel_B,warning,qc_flag,intensity_drop,num_frames=115
62,61,63,channel_B,warning,qc_flag,broken,num_frames=135
62,61,63,channel_B,warning,qc_flag,break_points,num_frames=135
64,63,65,channel_B,warning,qc_flag,broken,num_frames=135
64,63,65,channel_B,warning,qc_flag,break_points,num_frames=135
65,64,66,channel_B,warning,qc_flag,broken,num_frames=220
65,64,66,channel_B,warning,qc_flag,break_points,num_frames=220
67,66,68,channel_B,warning,qc_flag,broken,num_frames=234
67,66,68,channel_B,warning,qc_flag,break_points,num_frames=234
70,69,71,channel_C,warning,qc_flag,broken,num_frames=222
70,69,71,channel_C,warning,qc_flag,break_points,num_frames=222
73,20,74,channel_C,warning,qc_flag,intensity_drop,num_frames=122
74,42,75,channel_C,warning,qc_flag,intensity_drop,num_frames=408
75,54,76,channel_C,warning,qc_flag,intensity_drop,num_frames=243
79,75,80,channel_C,warning,exclude_from_distribution,排除原因: short_trajectory_5_frames_less_than_20,num_frames=5
79,75,80,channel_C,warning,qc_flag,short_trajectory,num_frames=5
84,80,85,channel_C,warning,qc_flag,broken,num_frames=147
84,80,85,channel_C,warning,qc_flag,break_points,num_frames=147
85,81,86,channel_C,warning,exclude_from_distribution,排除原因: short_trajectory_10_frames_less_than_20,num_frames=10
85,81,86,channel_C,warning,qc_flag,short_trajectory,num_frames=10
86,82,87,channel_C,warning,exclude_from_distribution,排除原因: short_trajectory_17_frames_less_than_20,num_frames=17
86,82,87,channel_C,warning,qc_flag,short_trajectory,num_frames=17
88,84,89,channel_C,warning,exclude_from_distribution,排除原因: short_trajectory_14_frames_less_than_20,num_frames=14
88,84,89,channel_C,warning,qc_flag,short_trajectory,num_frames=14
102,98,103,channel_C,warning,exclude_from_distribution,排除原因: short_trajectory_17_frames_less_than_20,num_frames=17
102,98,103,channel_C,warning,qc_flag,short_trajectory,num_frames=17
